Filnavn,Dato,Verdi_1,Verdi_2,Verdi_3,Verdi_4,Verdi_5,Verdi_6,Verdi_7,Verdi_8
Dagsalgsrapportapril24.pdf,18,5,487,"65,52",6336,744,9670,303,9973
Dagsalgsrapportapril24.pdf,13,8,283,"45,15",8481,626,18783,3090,21874
Dagsalgsrapportapril24.pdf,30,6,9,7,10,343,"54,15",7543,633
Dagsalgsrapportapril24.pdf,22,8,514,"62,14",8219,827,13227,927,14154
Dagsalgsrapportapril24.pdf,16,11,202,"41,59",6259,485,15050,1343,16393
Dagsalgsrapportapril24.pdf,31,9,185,"42,21",18121,438,42934,714,43648
Dagsalgsrapportapril24.pdf,12,161,"37,18",23703,434,63755,3339,67094,147
Dagsalgsrapportapril24.pdf,10,210,"43,03",20536,487,47722,1230,48952,98
Dagsalgsrapportapril24.pdf,13,183,"42,68",20319,429,47611,3166,50778,111
Dagsalgsrapportapril24.pdf,11,223,"47,94",10245,465,21371,2345,23716,46
Dagsalgsrapportapril24.pdf,14,184,"43,96",26310,419,59856,5278,65134,143
Dagsalgsrapportapril24.pdf,12,205,"44,06",19634,464,44562,3163,47726,96
Dagsalgsrapportapril24.pdf,15,224,"45,68",33089,489,72440,5203,77643,148
Dagsalgsrapportapril24.pdf,13,16,14,270,"52,59",8099,513,15399,8115
Dagsalgsrapportapril24.pdf,30,17,439,"60,58",14498,725,23934,2055,25989
Dagsalgsrapportapril24.pdf,15,335,"55,61",15097,603,27148,4281,31429,45
Dagsalgsrapportapril24.pdf,18,390,"54,93",8973,710,16334,1797,18131,23
Dagsalgsrapportapril24.pdf,16,327,"55,03",15360,594,27912,3389,31301,47
Dagsalgsrapportapril24.pdf,19,442,"59,01",14595,750,24734,2922,27657,33
Dagsalgsrapportapril24.pdf,17,315,"53,91",20799,585,38579,4788,43367,66
Dagsalgsrapportapril24.pdf,20,390,"55,57",15211,702,27373,5753,33126,39
Dagsalgsrapportapril24.pdf,18,322,"56,68",18668,568,32938,4076,37014,58
Dagsalgsrapportapril24.pdf,21,469,"57,31",12665,818,22099,1918,24017,27
Dagsalgsrapportapril24.pdf,19,332,"56,11",20277,592,36138,5615,41754,61
Dagsalgsrapportapril24.pdf,22,463,"59,20",13885,782,23456,3270,26726,30
Dagsalgsrapportapril24.pdf,20,23,21,459,"61,36",9180,748,14960,3533
Dagsalgsrapportapril24.pdf,20,24,424,"54,01",16535,785,30612,1096,31708
Dagsalgsrapportapril24.pdf,22,445,"58,95",3557,754,6034,1120,7154,8
Dagsalgsrapportapril24.pdf,25,580,"59,69",9853,971,16506,3593,20099,17
Dagsalgsrapportapril24.pdf,23,532,"65,07",7442,817,11437,1566,13003,14
Dagsalgsrapportapril24.pdf,26,434,"55,92",13027,777,23297,1869,25166,30
Dagsalgsrapportapril24.pdf,24,413,"59,09",8679,699,14687,2248,16935,21
Dagsalgsrapportapril24.pdf,27,511,"59,32",14298,861,24102,2698,26801,28
Dagsalgsrapportapril24.pdf,25,438,"61,62",12695,710,20602,834,21436,29
Dagsalgsrapportapril24.pdf,28,439,"57,66",9654,761,16742,2108,18850,22
Dagsalgsrapportapril24.pdf,26,495,"63,03",18304,785,29042,6267,35309,37
Dagsalgsrapportapril24.pdf,29,496,"58,40",18362,850,31442,3354,34797,37
Dagsalgsrapportapril24.pdf,27,30,28,439,"59,54",12727,737,21377,3677
Dagsalgsrapportapril24.pdf,29,29,368,"57,74",11787,638,20415,6550,26966
Dagsalgsrapportapril24.pdf,30,-----------------------------------------------------------------,-----------------------------------------------------------------,311,"53,57",265867,580,496309,59321
Dagsalgsrapportapril24.pdf,5,"-0,09",-625,4,Rek,"-0,52",-2599,-11,"-0,66"
Dagsalgsrapportapril25.pdf,1,Side,10:29,Kl.,5.03.26,Dato,LIS010,***,DAGSALGSRAPPORT
Dagsalgsrapportapril25.pdf,1,176,"41,24",7740,427,18767,5454,24222,44
Dagsalgsrapportapril25.pdf,2,483,"58,07",16435,832,28302,1238,29539,34
Dagsalgsrapportapril25.pdf,1,189,"41,32",5680,458,13747,2414,16162,30
Dagsalgsrapportapril25.pdf,3,396,"56,60",15443,700,27283,2550,29833,39
Dagsalgsrapportapril25.pdf,2,259,"44,41",4657,583,10486,522,11008,18
Dagsalgsrapportapril25.pdf,4,399,"54,20",11563,736,21333,3911,25244,29
Dagsalgsrapportapril25.pdf,3,278,"52,69",5010,528,9509,1134,10643,18
Dagsalgsrapportapril25.pdf,5,322,"52,64",11602,612,22041,3452,25493,36
Dagsalgsrapportapril25.pdf,4,283,"45,15",8481,626,18783,3090,21874,30
Dagsalgsrapportapril25.pdf,6,330,"54,38",15528,608,28557,3282,31839,47
Dagsalgsrapportapril25.pdf,5,7,6,343,"54,15",7543,633,13930,4021
Dagsalgsrapportapril25.pdf,22,8,394,"54,46",10628,723,19517,4370,23886
Dagsalgsrapportapril25.pdf,27,7,202,"41,59",6259,485,15050,1343,16393
Dagsalgsrapportapril25.pdf,31,9,388,"55,21",7761,703,14057,3597,17654
Dagsalgsrapportapril25.pdf,20,8,161,"37,18",23703,434,63755,3339,67094
Dagsalgsrapportapril25.pdf,10,516,"57,35",8251,899,14387,1328,15715,16
Dagsalgsrapportapril25.pdf,9,183,"42,68",20319,429,47611,3166,50778,111
Dagsalgsrapportapril25.pdf,11,314,"55,64",5957,563,10706,4842,15548,19
Dagsalgsrapportapril25.pdf,10,184,"43,96",26310,419,59856,5278,65134,143
Dagsalgsrapportapril25.pdf,12,411,"55,67",18103,739,32519,3741,36260,44
Dagsalgsrapportapril25.pdf,11,224,"45,68",33089,489,72440,5203,77643,148
Dagsalgsrapportapril25.pdf,13,437,"60,53",17922,722,29608,2510,32118,41
Dagsalgsrapportapril25.pdf,12,14,13,439,"60,58",14498,725,23934,2055
Dagsalgsrapportapril25.pdf,15,333,"56,59",9976,588,17630,4421,22050,30
Dagsalgsrapportapril25.pdf,14,390,"54,93",8973,710,16334,1797,18131,23
Dagsalgsrapportapril25.pdf,16,364,"54,33",13094,669,24101,4166,28267,36
Dagsalgsrapportapril25.pdf,15,442,"59,01",14595,750,24734,2922,27657,33
Dagsalgsrapportapril25.pdf,17,422,"55,72",17300,757,31050,1914,32964,41
Dagsalgsrapportapril25.pdf,16,390,"55,57",15211,702,27373,5753,33126,39
Dagsalgsrapportapril25.pdf,18,17,469,"57,31",12665,818,22099,1918,24017
Dagsalgsrapportapril25.pdf,27,19,18,463,"59,20",13885,782,23456,3270
Dagsalgsrapportapril25.pdf,30,20,372,"53,81",12291,692,22842,1414,24256
Dagsalgsrapportapril25.pdf,19,21,20,424,"54,01",16535,785,30612,1096
Dagsalgsrapportapril25.pdf,22,21,580,"59,69",9853,971,16506,3593,20099
Dagsalgsrapportapril25.pdf,17,23,362,"56,02",12677,647,22631,2339,24970
Dagsalgsrapportapril25.pdf,22,434,"55,92",13027,777,23297,1869,25166,30
Dagsalgsrapportapril25.pdf,24,222,"47,98",17070,462,35577,3759,39336,77
Dagsalgsrapportapril25.pdf,23,511,"59,32",14298,861,24102,2698,26801,28
Dagsalgsrapportapril25.pdf,25,197,"44,65",22887,442,51260,2093,53353,116
Dagsalgsrapportapril25.pdf,24,439,"57,66",9654,761,16742,2108,18850,22
Dagsalgsrapportapril25.pdf,26,297,"52,46",29420,566,56083,3081,59164,99
Dagsalgsrapportapril25.pdf,25,496,"58,40",18362,850,31442,3354,34797,37
Dagsalgsrapportapril25.pdf,27,231,"49,66",28202,466,56794,3561,60354,122
Dagsalgsrapportapril25.pdf,26,28,27,439,"59,54",12727,737,21377,3677
Dagsalgsrapportapril25.pdf,29,29,289,"51,44",18756,561,36462,2461,38922
Dagsalgsrapportapril25.pdf,28,368,"57,74",11787,638,20415,6550,26966,32
Dagsalgsrapportapril25.pdf,30,402,"51,66",13256,778,25662,3430,29092,33
Dagsalgsrapportapril25.pdf,29,407,"57,92",10998,703,18987,3249,22236,27
Dagsalgsrapportapril25.pdf,30,-----------------------------------------------------------------,-----------------------------------------------------------------,288,"50,25",334860,574,666359,77625
Dagsalgsrapportapril25.pdf,4,"-0,36",-2370,11,Rek,"-0,66",-4419,-20,"-0,26"
Dagsalgsrapportaugust23.pdf,1,Side,10:10,Kl.,5.03.26,Dato,LIS010,***,DAGSALGSRAPPORT
Dagsalgsrapportaugust23.pdf,1,171,"43,43",3422,394,7880,419,8299,20
Dagsalgsrapportaugust23.pdf,2,265,"52,19",11924,508,22848,2420,25268,45
Dagsalgsrapportaugust23.pdf,1,159,"43,77",3965,362,9059,161,9220,25
Dagsalgsrapportaugust23.pdf,3,201,"45,50",7621,441,16749,994,17742,38
Dagsalgsrapportaugust23.pdf,2,160,"43,43",4310,368,9923,376,10299,27
Dagsalgsrapportaugust23.pdf,4,268,"53,00",7227,505,13636,3249,16885,27
Dagsalgsrapportaugust23.pdf,3,146,"41,14",4812,354,11696,229,11925,33
Dagsalgsrapportaugust23.pdf,5,271,"53,56",6507,506,12149,2363,14512,24
Dagsalgsrapportaugust23.pdf,4,127,"37,07",4434,342,11961,476,12437,35
Dagsalgsrapportaugust23.pdf,6,197,"44,72",5119,440,11446,1681,13126,26
Dagsalgsrapportaugust23.pdf,5,7,6,144,"40,27",4908,358,12188,377
Dagsalgsrapportaugust23.pdf,8,247,"51,77",4933,476,9530,3057,12586,20
Dagsalgsrapportaugust23.pdf,7,186,"48,76",5214,382,10694,254,10948,28
Dagsalgsrapportaugust23.pdf,9,241,"53,44",7215,450,13501,3121,16622,30
Dagsalgsrapportaugust23.pdf,8,275,"51,23",3574,537,6977,445,7422,13
Dagsalgsrapportaugust23.pdf,10,306,"52,19",10411,587,19948,4181,24129,34
Dagsalgsrapportaugust23.pdf,9,98,"29,80",1271,328,4266,65,4330,13
Dagsalgsrapportaugust23.pdf,11,251,"46,76",5777,537,12354,1882,14237,23
Dagsalgsrapportaugust23.pdf,10,91,"34,35",2005,265,5837,79,5916,22
Dagsalgsrapportaugust23.pdf,12,268,"52,17",8574,514,16434,2893,19326,32
Dagsalgsrapportaugust23.pdf,11,190,"47,11",3619,404,7682,106,7787,19
Dagsalgsrapportaugust23.pdf,13,256,"52,53",6654,487,12667,3482,16149,26
Dagsalgsrapportaugust23.pdf,12,14,13,168,"41,74",6063,404,14526,338
Dagsalgsrapportaugust23.pdf,15,191,"40,11",8576,475,21380,2500,23880,45
Dagsalgsrapportaugust23.pdf,14,204,"49,28",11423,414,23180,688,23868,56
Dagsalgsrapportaugust23.pdf,16,157,"39,17",7389,401,18862,5542,24404,47
Dagsalgsrapportaugust23.pdf,15,192,"48,16",5561,398,11548,184,11732,29
Dagsalgsrapportaugust23.pdf,17,209,"42,84",9838,489,22962,5430,28393,47
Dagsalgsrapportaugust23.pdf,16,50,"16,41",4580,303,27910,889,28798,92
Dagsalgsrapportaugust23.pdf,18,183,"44,59",5868,411,13159,3130,16290,32
Dagsalgsrapportaugust23.pdf,17,63,"21,42",4522,293,21112,622,21734,72
Dagsalgsrapportaugust23.pdf,19,217,"46,17",8467,470,18339,2702,21041,39
Dagsalgsrapportaugust23.pdf,18,25,"11,22",2335,221,20810,624,21434,94
Dagsalgsrapportaugust23.pdf,20,202,"44,46",12337,455,27751,4854,32605,61
Dagsalgsrapportaugust23.pdf,19,21,20,215,"47,64",4944,451,10377,343
Dagsalgsrapportaugust23.pdf,23,22,73,"24,79",1668,293,6729,1080,7809
Dagsalgsrapportaugust23.pdf,23,21,131,"39,23",3812,335,9716,493,10209
Dagsalgsrapportaugust23.pdf,29,23,223,"49,79",5357,448,10759,2498,13257
Dagsalgsrapportaugust23.pdf,24,22,120,"35,66",2868,335,8042,502,8544
Dagsalgsrapportaugust23.pdf,24,24,173,"40,55",4330,427,10679,1656,12335
Dagsalgsrapportaugust23.pdf,25,23,62,"18,91",1599,325,8455,209,8664
Dagsalgsrapportaugust23.pdf,26,25,154,"46,47",4156,331,8943,1638,10581
Dagsalgsrapportaugust23.pdf,27,24,164,"40,46",4262,405,10534,316,10850
Dagsalgsrapportaugust23.pdf,26,26,226,"43,41",10409,521,23980,4709,28689
Dagsalgsrapportaugust23.pdf,25,203,"50,63",2840,401,5610,50,5660,14
Dagsalgsrapportaugust23.pdf,27,116,"28,03",13044,415,46534,5477,52010,112
Dagsalgsrapportaugust23.pdf,26,28,27,280,"48,50",2516,576,5187,469
Dagsalgsrapportaugust23.pdf,9,29,256,"46,41",6652,551,14333,542,14875
Dagsalgsrapportaugust23.pdf,26,28,266,"52,10",5588,511,10725,106,10830
Dagsalgsrapportaugust23.pdf,21,30,326,"51,54",5871,633,11391,6015,17406
Dagsalgsrapportaugust23.pdf,18,29,218,"47,37",7614,459,16072,139,16211
Dagsalgsrapportaugust23.pdf,31,457,"59,50",7776,769,13069,3324,16393,17
Dagsalgsrapportaugust23.pdf,30,402,"56,06",6842,718,12205,2353,14558,17
Dagsalgsrapportaugust23.pdf,31,-----------------------------------------------------------------,-----------------------------------------------------------------,133,"37,49",119347,355,318347,9308
Dagsalgsrapportaugust23.pdf,6,"-0,69",-3073,10,Rek,"0,25",827,-6,"-0,89"
Dagsalgsrapportaugust23.pdf,14,C+S,,,,,,,
Dagsalgsrapportaugust24.pdf,1,Side,10:19,Kl.,5.03.26,Dato,LIS010,***,DAGSALGSRAPPORT
Dagsalgsrapportaugust24.pdf,1,201,"45,50",7621,441,16749,994,17742,38
Dagsalgsrapportaugust24.pdf,2,268,"53,00",7227,505,13636,3249,16885,27
Dagsalgsrapportaugust24.pdf,3,168,"40,51",5054,416,12476,857,13333,30
Dagsalgsrapportaugust24.pdf,1,271,"53,56",6507,506,12149,2363,14512,24
Dagsalgsrapportaugust24.pdf,4,157,"34,94",4563,450,13060,3890,16950,29
Dagsalgsrapportaugust24.pdf,2,197,"44,72",5119,440,11446,1681,13126,26
Dagsalgsrapportaugust24.pdf,5,216,"46,85",5184,461,11064,4806,15870,24
Dagsalgsrapportaugust24.pdf,3,6,4,247,"51,77",4933,476,9530,3057
Dagsalgsrapportaugust24.pdf,20,7,229,"45,96",7335,499,15961,2899,18860
Dagsalgsrapportaugust24.pdf,5,241,"53,44",7215,450,13501,3121,16622,30
Dagsalgsrapportaugust24.pdf,8,140,"39,77",3493,351,8782,1734,10517,25
Dagsalgsrapportaugust24.pdf,6,306,"52,19",10411,587,19948,4181,24129,34
Dagsalgsrapportaugust24.pdf,9,220,"43,16",6368,509,14756,5258,20014,29
Dagsalgsrapportaugust24.pdf,7,251,"46,76",5777,537,12354,1882,14237,23
Dagsalgsrapportaugust24.pdf,10,168,"41,64",4716,405,11326,943,12270,28
Dagsalgsrapportaugust24.pdf,8,268,"52,17",8574,514,16434,2893,19326,32
Dagsalgsrapportaugust24.pdf,11,197,"44,25",6122,446,13834,3062,16896,31
Dagsalgsrapportaugust24.pdf,9,256,"52,53",6654,487,12667,3482,16149,26
Dagsalgsrapportaugust24.pdf,12,179,"40,41",4651,443,11509,2582,14091,26
Dagsalgsrapportaugust24.pdf,10,13,11,191,"40,11",8576,475,21380,2500
Dagsalgsrapportaugust24.pdf,14,242,"48,88",11133,495,22775,5710,28486,46
Dagsalgsrapportaugust24.pdf,12,157,"39,17",7389,401,18862,5542,24404,47
Dagsalgsrapportaugust24.pdf,15,258,"48,17",11611,536,24103,4731,28835,45
Dagsalgsrapportaugust24.pdf,13,209,"42,84",9838,489,22962,5430,28393,47
Dagsalgsrapportaugust24.pdf,16,206,"40,15",4125,514,10274,3373,13647,20
Dagsalgsrapportaugust24.pdf,14,183,"44,59",5868,411,13159,3130,16290,32
Dagsalgsrapportaugust24.pdf,17,219,"44,53",6801,493,15274,2522,17796,31
Dagsalgsrapportaugust24.pdf,15,217,"46,17",8467,470,18339,2702,21041,39
Dagsalgsrapportaugust24.pdf,18,158,"37,48",5378,422,14350,2982,17332,34
Dagsalgsrapportaugust24.pdf,16,202,"44,46",12337,455,27751,4854,32605,61
Dagsalgsrapportaugust24.pdf,19,206,"41,92",8240,491,19657,5242,24898,40
Dagsalgsrapportaugust24.pdf,17,20,18,73,"24,79",1668,293,6729,1080
Dagsalgsrapportaugust24.pdf,23,21,207,"40,83",12014,507,29426,2924,32350
Dagsalgsrapportaugust24.pdf,19,223,"49,79",5357,448,10759,2498,13257,24
Dagsalgsrapportaugust24.pdf,22,105,"27,95",5558,375,19887,4347,24234,53
Dagsalgsrapportaugust24.pdf,20,173,"40,55",4330,427,10679,1656,12335,25
Dagsalgsrapportaugust24.pdf,23,159,"36,01",7785,441,21617,3300,24917,49
Dagsalgsrapportaugust24.pdf,21,154,"46,47",4156,331,8943,1638,10581,27
Dagsalgsrapportaugust24.pdf,24,144,"37,07",9379,389,25302,4739,30041,65
Dagsalgsrapportaugust24.pdf,22,226,"43,41",10409,521,23980,4709,28689,46
Dagsalgsrapportaugust24.pdf,25,99,"23,91",6962,416,29113,5454,34567,70
Dagsalgsrapportaugust24.pdf,23,116,"28,03",13044,415,46534,5477,52010,112
Dagsalgsrapportaugust24.pdf,26,157,"35,38",11631,444,32876,2420,35296,74
Dagsalgsrapportaugust24.pdf,24,27,25,256,"46,41",6652,551,14333,542
Dagsalgsrapportaugust24.pdf,26,28,96,"27,20",1829,354,6723,2732,9455
Dagsalgsrapportaugust24.pdf,19,26,326,"51,54",5871,633,11391,6015,17406
Dagsalgsrapportaugust24.pdf,18,29,209,"39,11",2717,534,6946,3418,10364
Dagsalgsrapportaugust24.pdf,13,27,457,"59,50",7776,769,13069,3324,16393
Dagsalgsrapportaugust24.pdf,17,30,277,"50,19",7204,552,14354,163,14518
Dagsalgsrapportaugust24.pdf,26,28,402,"56,06",6842,718,12205,2353,14558
Dagsalgsrapportaugust24.pdf,17,31,304,"48,00",7003,634,14589,1585,16174
Dagsalgsrapportaugust24.pdf,23,29,176,"35,31",5104,499,14457,2022,16478
Dagsalgsrapportaugust24.pdf,29,30,241,"40,12",5791,601,14434,1760,16194
Dagsalgsrapportaugust24.pdf,24,31,-----------------------------------------------------------------,-----------------------------------------------------------------,215,"45,34",200542,475,442336
Dagsalgsrapportaugust24.pdf,10,"-0,59",-2679,9,Rek,"-0,89",-3945,-1,"-1,70"
Dagsalgsrapportaugust25.pdf,1,Side,10:31,Kl.,5.03.26,Dato,LIS010,***,DAGSALGSRAPPORT
