År,Måned,Dag,Antall_par,Omsetning_sko,Omsetning_tilbehor,Omsetning_total,Dekningsgrad_prosent,Snittpris_sko,Filnavn
2023,Januar,13,7184.0,320.0,7034.0,150.0,62.0,1367.0,Dagsalgsrapport jan23.pdf
2023,Januar,22,11389.0,543.0,10866.0,523.0,266.0,5324.0,Dagsalgsrapport jan23.pdf
2023,Januar,20,6085.0,39.44,2400.0,435.0,30.0,171.0,Dagsalgsrapport jan23.pdf
2023,Januar,14,8823.0,529.0,7403.0,1420.0,259.0,3631.0,Dagsalgsrapport jan23.pdf
2023,Januar,14,13444.0,620.0,13011.0,433.0,320.0,6713.0,Dagsalgsrapport jan23.pdf
2023,Januar,21,190172.0,37.1,70550.0,439.0,,163.0,Dagsalgsrapport jan23.pdf
2023,Januar,8,-0.58,-0.21,-403.0,-2.0,-1678.0,,Dagsalgsrapport jan23.pdf
2023,Januar,31,,,,,3.0,,Dagsalgsrapport jan23.pdf
2023,April,20,23877.0,625.0,23123.0,754.0,357.0,13197.0,Dagsalgsrapportapril23.pdf
2023,April,2,15.0,11308.0,1473.0,12781.0,63.42,754.0,Dagsalgsrapportapril23.pdf
2023,April,1,347.0,2862.0,679.0,4754.0,2.0,60.2,Dagsalgsrapportapril23.pdf
2023,April,7,20610.0,826.0,18995.0,1615.0,478.0,11000.0,Dagsalgsrapportapril23.pdf
2023,April,23,15422.0,689.0,15150.0,271.0,398.0,8749.0,Dagsalgsrapportapril23.pdf
2023,April,22,8759.0,779.0,7793.0,966.0,433.0,4325.0,Dagsalgsrapportapril23.pdf
2023,April,10,5664.0,689.0,5514.0,150.0,372.0,2976.0,Dagsalgsrapportapril23.pdf
2023,April,8,4604.0,770.0,3852.0,752.0,425.0,2123.0,Dagsalgsrapportapril23.pdf
2023,April,5,11092.0,573.0,10306.0,786.0,347.0,6240.0,Dagsalgsrapportapril23.pdf
2023,April,18,488.0,4888.0,679.0,8150.0,6.0,59.97,Dagsalgsrapportapril23.pdf
2023,April,12,1595.0,7926.0,604.0,13902.0,7.0,57.02,Dagsalgsrapportapril23.pdf
2023,April,23,9973.0,744.0,9670.0,303.0,487.0,6336.0,Dagsalgsrapportapril23.pdf
2023,April,13,16374.0,54.92,8992.0,630.0,10.0,346.0,Dagsalgsrapportapril23.pdf
2023,April,26,769.0,13643.0,676.0,22973.0,10.0,59.39,Dagsalgsrapportapril23.pdf
2023,April,12,16.0,13227.0,927.0,14154.0,62.14,827.0,Dagsalgsrapportapril23.pdf
2023,April,11,19.0,13665.0,161.0,13826.0,57.17,719.0,Dagsalgsrapportapril23.pdf
2023,April,13,98.0,42934.0,714.0,43648.0,42.21,438.0,Dagsalgsrapportapril23.pdf
2023,April,12,48952.0,487.0,47722.0,1230.0,210.0,20536.0,Dagsalgsrapportapril23.pdf
2023,April,13,23716.0,465.0,21371.0,2345.0,223.0,10245.0,Dagsalgsrapportapril23.pdf
2023,April,14,24.0,17701.0,713.0,18414.0,58.21,738.0,Dagsalgsrapportapril23.pdf
2023,April,16,96.0,44562.0,3163.0,47726.0,44.06,464.0,Dagsalgsrapportapril23.pdf
2023,April,15,15399.0,52.59,8099.0,513.0,16.0,270.0,Dagsalgsrapportapril23.pdf
2023,April,30,27227.0,596.0,26221.0,1006.0,357.0,15686.0,Dagsalgsrapportapril23.pdf
2023,April,19,45.0,27148.0,4281.0,31429.0,55.61,603.0,Dagsalgsrapportapril23.pdf
2023,April,18,51.0,30495.0,666.0,31162.0,61.27,598.0,Dagsalgsrapportapril23.pdf
2023,April,20,47.0,27912.0,3389.0,31301.0,55.03,594.0,Dagsalgsrapportapril23.pdf
2023,April,19,39.0,24241.0,558.0,24799.0,59.48,622.0,Dagsalgsrapportapril23.pdf
2023,April,21,66.0,38579.0,4788.0,43367.0,53.91,585.0,Dagsalgsrapportapril23.pdf
2023,April,20,33.0,19094.0,1350.0,20443.0,59.78,579.0,Dagsalgsrapportapril23.pdf
2023,April,22,58.0,32938.0,4076.0,37014.0,56.68,568.0,Dagsalgsrapportapril23.pdf
2023,April,21,54.0,30813.0,1125.0,31938.0,58.87,571.0,Dagsalgsrapportapril23.pdf
2023,April,23,61.0,36138.0,5615.0,41754.0,56.11,592.0,Dagsalgsrapportapril23.pdf
2023,April,22,214.0,5584.0,550.0,9906.0,23.0,56.37,Dagsalgsrapportapril23.pdf
2023,April,18,18493.0,748.0,14960.0,3533.0,459.0,9180.0,Dagsalgsrapportapril23.pdf
2023,April,20,15705.0,655.0,15054.0,651.0,389.0,8953.0,Dagsalgsrapportapril23.pdf
2023,April,23,7154.0,754.0,6034.0,1120.0,445.0,3557.0,Dagsalgsrapportapril23.pdf
2023,April,8,39329.0,418.0,38883.0,446.0,192.0,17868.0,Dagsalgsrapportapril23.pdf
2023,April,27,14.0,11437.0,1566.0,13003.0,65.07,817.0,Dagsalgsrapportapril23.pdf
2023,April,26,74.0,27075.0,677.0,27752.0,44.7,366.0,Dagsalgsrapportapril23.pdf
2023,April,28,21.0,14687.0,2248.0,16935.0,59.09,699.0,Dagsalgsrapportapril23.pdf
2023,April,27,84.0,38159.0,594.0,38753.0,49.23,454.0,Dagsalgsrapportapril23.pdf
2023,April,29,29.0,20602.0,834.0,21436.0,61.62,710.0,Dagsalgsrapportapril23.pdf
2023,April,28,84.0,39751.0,708.0,40459.0,51.79,473.0,Dagsalgsrapportapril23.pdf
2023,April,30,37.0,29042.0,6267.0,35309.0,63.03,785.0,Dagsalgsrapportapril23.pdf
2023,April,1,-0.52,-0.69,-3200.0,-17.0,-1105.0,,Dagsalgsrapportapril23.pdf
2023,April,2,,,,,,,Dagsalgsrapportapril23.pdf
2024,April,15,20610.0,826.0,18995.0,1615.0,478.0,11000.0,Dagsalgsrapportapril24.pdf
2024,April,23,966.0,4325.0,779.0,7793.0,1.0,55.5,Dagsalgsrapportapril24.pdf
2024,April,10,24222.0,427.0,18767.0,5454.0,176.0,7740.0,Dagsalgsrapportapril24.pdf
2024,April,2,5.0,3852.0,752.0,4604.0,55.11,770.0,Dagsalgsrapportapril24.pdf
2024,April,5,30.0,13747.0,2414.0,16162.0,41.32,458.0,Dagsalgsrapportapril24.pdf
2024,April,3,11008.0,583.0,10486.0,522.0,259.0,4657.0,Dagsalgsrapportapril24.pdf
2024,April,18,1134.0,5010.0,528.0,9509.0,7.0,52.69,Dagsalgsrapportapril24.pdf
2024,April,18,9973.0,744.0,9670.0,303.0,487.0,6336.0,Dagsalgsrapportapril24.pdf
2024,April,13,21874.0,626.0,18783.0,3090.0,283.0,8481.0,Dagsalgsrapportapril24.pdf
2024,April,30,633.0,343.0,54.15,7543.0,9.0,10.0,Dagsalgsrapportapril24.pdf
2024,April,22,14154.0,827.0,13227.0,927.0,514.0,8219.0,Dagsalgsrapportapril24.pdf
2024,April,16,16393.0,485.0,15050.0,1343.0,202.0,6259.0,Dagsalgsrapportapril24.pdf
2024,April,31,43648.0,438.0,42934.0,714.0,185.0,18121.0,Dagsalgsrapportapril24.pdf
2024,April,12,147.0,63755.0,3339.0,67094.0,37.18,434.0,Dagsalgsrapportapril24.pdf
2024,April,10,98.0,47722.0,1230.0,48952.0,43.03,487.0,Dagsalgsrapportapril24.pdf
2024,April,13,111.0,47611.0,3166.0,50778.0,42.68,429.0,Dagsalgsrapportapril24.pdf
2024,April,11,46.0,21371.0,2345.0,23716.0,47.94,465.0,Dagsalgsrapportapril24.pdf
2024,April,14,143.0,59856.0,5278.0,65134.0,43.96,419.0,Dagsalgsrapportapril24.pdf
2024,April,12,96.0,44562.0,3163.0,47726.0,44.06,464.0,Dagsalgsrapportapril24.pdf
2024,April,15,148.0,72440.0,5203.0,77643.0,45.68,489.0,Dagsalgsrapportapril24.pdf
2024,April,13,8115.0,8099.0,513.0,15399.0,14.0,52.59,Dagsalgsrapportapril24.pdf
2024,April,30,25989.0,725.0,23934.0,2055.0,439.0,14498.0,Dagsalgsrapportapril24.pdf
2024,April,15,45.0,27148.0,4281.0,31429.0,55.61,603.0,Dagsalgsrapportapril24.pdf
2024,April,18,23.0,16334.0,1797.0,18131.0,54.93,710.0,Dagsalgsrapportapril24.pdf
2024,April,16,47.0,27912.0,3389.0,31301.0,55.03,594.0,Dagsalgsrapportapril24.pdf
2024,April,19,33.0,24734.0,2922.0,27657.0,59.01,750.0,Dagsalgsrapportapril24.pdf
2024,April,17,66.0,38579.0,4788.0,43367.0,53.91,585.0,Dagsalgsrapportapril24.pdf
2024,April,20,39.0,27373.0,5753.0,33126.0,55.57,702.0,Dagsalgsrapportapril24.pdf
2024,April,18,58.0,32938.0,4076.0,37014.0,56.68,568.0,Dagsalgsrapportapril24.pdf
2024,April,21,27.0,22099.0,1918.0,24017.0,57.31,818.0,Dagsalgsrapportapril24.pdf
2024,April,19,61.0,36138.0,5615.0,41754.0,56.11,592.0,Dagsalgsrapportapril24.pdf
2024,April,22,30.0,23456.0,3270.0,26726.0,59.2,782.0,Dagsalgsrapportapril24.pdf
2024,April,20,3533.0,9180.0,748.0,14960.0,21.0,61.36,Dagsalgsrapportapril24.pdf
2024,April,20,31708.0,785.0,30612.0,1096.0,424.0,16535.0,Dagsalgsrapportapril24.pdf
2024,April,22,8.0,6034.0,1120.0,7154.0,58.95,754.0,Dagsalgsrapportapril24.pdf
2024,April,25,17.0,16506.0,3593.0,20099.0,59.69,971.0,Dagsalgsrapportapril24.pdf
2024,April,23,14.0,11437.0,1566.0,13003.0,65.07,817.0,Dagsalgsrapportapril24.pdf
2024,April,26,30.0,23297.0,1869.0,25166.0,55.92,777.0,Dagsalgsrapportapril24.pdf
2024,April,24,21.0,14687.0,2248.0,16935.0,59.09,699.0,Dagsalgsrapportapril24.pdf
2024,April,27,28.0,24102.0,2698.0,26801.0,59.32,861.0,Dagsalgsrapportapril24.pdf
2024,April,25,29.0,20602.0,834.0,21436.0,61.62,710.0,Dagsalgsrapportapril24.pdf
2024,April,28,22.0,16742.0,2108.0,18850.0,57.66,761.0,Dagsalgsrapportapril24.pdf
2024,April,26,37.0,29042.0,6267.0,35309.0,63.03,785.0,Dagsalgsrapportapril24.pdf
2024,April,29,37.0,31442.0,3354.0,34797.0,58.4,850.0,Dagsalgsrapportapril24.pdf
2024,April,27,3677.0,12727.0,737.0,21377.0,28.0,59.54,Dagsalgsrapportapril24.pdf
2024,April,29,26966.0,638.0,20415.0,6550.0,368.0,11787.0,Dagsalgsrapportapril24.pdf
2024,April,30,59321.0,265867.0,580.0,496309.0,,53.57,Dagsalgsrapportapril24.pdf
2024,April,5,-0.66,-0.52,-2599.0,-11.0,-625.0,,Dagsalgsrapportapril24.pdf
2025,April,1,44.0,18767.0,5454.0,24222.0,41.24,427.0,Dagsalgsrapportapril25.pdf
2025,April,2,34.0,28302.0,1238.0,29539.0,58.07,832.0,Dagsalgsrapportapril25.pdf
2025,April,1,30.0,13747.0,2414.0,16162.0,41.32,458.0,Dagsalgsrapportapril25.pdf
2025,April,3,39.0,27283.0,2550.0,29833.0,56.6,700.0,Dagsalgsrapportapril25.pdf
2025,April,2,18.0,10486.0,522.0,11008.0,44.41,583.0,Dagsalgsrapportapril25.pdf
2025,April,4,29.0,21333.0,3911.0,25244.0,54.2,736.0,Dagsalgsrapportapril25.pdf
2025,April,3,18.0,9509.0,1134.0,10643.0,52.69,528.0,Dagsalgsrapportapril25.pdf
2025,April,5,36.0,22041.0,3452.0,25493.0,52.64,612.0,Dagsalgsrapportapril25.pdf
2025,April,4,30.0,18783.0,3090.0,21874.0,45.15,626.0,Dagsalgsrapportapril25.pdf
2025,April,6,47.0,28557.0,3282.0,31839.0,54.38,608.0,Dagsalgsrapportapril25.pdf
2025,April,5,4021.0,7543.0,633.0,13930.0,6.0,54.15,Dagsalgsrapportapril25.pdf
2025,April,22,23886.0,723.0,19517.0,4370.0,394.0,10628.0,Dagsalgsrapportapril25.pdf
2025,April,27,16393.0,485.0,15050.0,1343.0,202.0,6259.0,Dagsalgsrapportapril25.pdf
2025,April,31,17654.0,703.0,14057.0,3597.0,388.0,7761.0,Dagsalgsrapportapril25.pdf
2025,April,20,67094.0,434.0,63755.0,3339.0,161.0,23703.0,Dagsalgsrapportapril25.pdf
2025,April,10,16.0,14387.0,1328.0,15715.0,57.35,899.0,Dagsalgsrapportapril25.pdf
2025,April,9,111.0,47611.0,3166.0,50778.0,42.68,429.0,Dagsalgsrapportapril25.pdf
2025,April,11,19.0,10706.0,4842.0,15548.0,55.64,563.0,Dagsalgsrapportapril25.pdf
2025,April,10,143.0,59856.0,5278.0,65134.0,43.96,419.0,Dagsalgsrapportapril25.pdf
2025,April,12,44.0,32519.0,3741.0,36260.0,55.67,739.0,Dagsalgsrapportapril25.pdf
2025,April,11,148.0,72440.0,5203.0,77643.0,45.68,489.0,Dagsalgsrapportapril25.pdf
2025,April,13,41.0,29608.0,2510.0,32118.0,60.53,722.0,Dagsalgsrapportapril25.pdf
2025,April,12,2055.0,14498.0,725.0,23934.0,13.0,60.58,Dagsalgsrapportapril25.pdf
2025,April,15,30.0,17630.0,4421.0,22050.0,56.59,588.0,Dagsalgsrapportapril25.pdf
2025,April,14,23.0,16334.0,1797.0,18131.0,54.93,710.0,Dagsalgsrapportapril25.pdf
2025,April,16,36.0,24101.0,4166.0,28267.0,54.33,669.0,Dagsalgsrapportapril25.pdf
2025,April,15,33.0,24734.0,2922.0,27657.0,59.01,750.0,Dagsalgsrapportapril25.pdf
2025,April,17,41.0,31050.0,1914.0,32964.0,55.72,757.0,Dagsalgsrapportapril25.pdf
2025,April,16,39.0,27373.0,5753.0,33126.0,55.57,702.0,Dagsalgsrapportapril25.pdf
2025,April,18,24017.0,818.0,22099.0,1918.0,469.0,12665.0,Dagsalgsrapportapril25.pdf
2025,April,27,3270.0,13885.0,782.0,23456.0,18.0,59.2,Dagsalgsrapportapril25.pdf
2025,April,30,24256.0,692.0,22842.0,1414.0,372.0,12291.0,Dagsalgsrapportapril25.pdf
2025,April,19,1096.0,16535.0,785.0,30612.0,20.0,54.01,Dagsalgsrapportapril25.pdf
2025,April,22,20099.0,971.0,16506.0,3593.0,580.0,9853.0,Dagsalgsrapportapril25.pdf
2025,April,17,24970.0,647.0,22631.0,2339.0,362.0,12677.0,Dagsalgsrapportapril25.pdf
2025,April,22,30.0,23297.0,1869.0,25166.0,55.92,777.0,Dagsalgsrapportapril25.pdf
2025,April,24,77.0,35577.0,3759.0,39336.0,47.98,462.0,Dagsalgsrapportapril25.pdf
2025,April,23,28.0,24102.0,2698.0,26801.0,59.32,861.0,Dagsalgsrapportapril25.pdf
2025,April,25,116.0,51260.0,2093.0,53353.0,44.65,442.0,Dagsalgsrapportapril25.pdf
2025,April,24,22.0,16742.0,2108.0,18850.0,57.66,761.0,Dagsalgsrapportapril25.pdf
2025,April,26,99.0,56083.0,3081.0,59164.0,52.46,566.0,Dagsalgsrapportapril25.pdf
2025,April,25,37.0,31442.0,3354.0,34797.0,58.4,850.0,Dagsalgsrapportapril25.pdf
2025,April,27,122.0,56794.0,3561.0,60354.0,49.66,466.0,Dagsalgsrapportapril25.pdf
2025,April,26,3677.0,12727.0,737.0,21377.0,27.0,59.54,Dagsalgsrapportapril25.pdf
2025,April,29,38922.0,561.0,36462.0,2461.0,289.0,18756.0,Dagsalgsrapportapril25.pdf
2025,April,28,32.0,20415.0,6550.0,26966.0,57.74,638.0,Dagsalgsrapportapril25.pdf
2025,April,30,33.0,25662.0,3430.0,29092.0,51.66,778.0,Dagsalgsrapportapril25.pdf
2025,April,29,27.0,18987.0,3249.0,22236.0,57.92,703.0,Dagsalgsrapportapril25.pdf
2025,April,30,77625.0,334860.0,574.0,666359.0,,50.25,Dagsalgsrapportapril25.pdf
2025,April,4,-0.26,-0.66,-4419.0,-20.0,-2370.0,,Dagsalgsrapportapril25.pdf
2023,August,1,20.0,7880.0,419.0,8299.0,43.43,394.0,Dagsalgsrapportaugust23.pdf
2023,August,2,45.0,22848.0,2420.0,25268.0,52.19,508.0,Dagsalgsrapportaugust23.pdf
2023,August,1,25.0,9059.0,161.0,9220.0,43.77,362.0,Dagsalgsrapportaugust23.pdf
2023,August,3,38.0,16749.0,994.0,17742.0,45.5,441.0,Dagsalgsrapportaugust23.pdf
2023,August,2,27.0,9923.0,376.0,10299.0,43.43,368.0,Dagsalgsrapportaugust23.pdf
2023,August,4,27.0,13636.0,3249.0,16885.0,53.0,505.0,Dagsalgsrapportaugust23.pdf
2023,August,3,33.0,11696.0,229.0,11925.0,41.14,354.0,Dagsalgsrapportaugust23.pdf
2023,August,5,24.0,12149.0,2363.0,14512.0,53.56,506.0,Dagsalgsrapportaugust23.pdf
2023,August,4,35.0,11961.0,476.0,12437.0,37.07,342.0,Dagsalgsrapportaugust23.pdf
2023,August,6,26.0,11446.0,1681.0,13126.0,44.72,440.0,Dagsalgsrapportaugust23.pdf
2023,August,5,377.0,4908.0,358.0,12188.0,6.0,40.27,Dagsalgsrapportaugust23.pdf
2023,August,8,20.0,9530.0,3057.0,12586.0,51.77,476.0,Dagsalgsrapportaugust23.pdf
2023,August,7,28.0,10694.0,254.0,10948.0,48.76,382.0,Dagsalgsrapportaugust23.pdf
2023,August,9,30.0,13501.0,3121.0,16622.0,53.44,450.0,Dagsalgsrapportaugust23.pdf
2023,August,8,13.0,6977.0,445.0,7422.0,51.23,537.0,Dagsalgsrapportaugust23.pdf
2023,August,10,34.0,19948.0,4181.0,24129.0,52.19,587.0,Dagsalgsrapportaugust23.pdf
2023,August,9,13.0,4266.0,65.0,4330.0,29.8,328.0,Dagsalgsrapportaugust23.pdf
2023,August,11,23.0,12354.0,1882.0,14237.0,46.76,537.0,Dagsalgsrapportaugust23.pdf
2023,August,10,22.0,5837.0,79.0,5916.0,34.35,265.0,Dagsalgsrapportaugust23.pdf
2023,August,12,32.0,16434.0,2893.0,19326.0,52.17,514.0,Dagsalgsrapportaugust23.pdf
2023,August,11,19.0,7682.0,106.0,7787.0,47.11,404.0,Dagsalgsrapportaugust23.pdf
2023,August,13,26.0,12667.0,3482.0,16149.0,52.53,487.0,Dagsalgsrapportaugust23.pdf
2023,August,12,338.0,6063.0,404.0,14526.0,13.0,41.74,Dagsalgsrapportaugust23.pdf
2023,August,15,45.0,21380.0,2500.0,23880.0,40.11,475.0,Dagsalgsrapportaugust23.pdf
2023,August,14,56.0,23180.0,688.0,23868.0,49.28,414.0,Dagsalgsrapportaugust23.pdf
2023,August,16,47.0,18862.0,5542.0,24404.0,39.17,401.0,Dagsalgsrapportaugust23.pdf
2023,August,15,29.0,11548.0,184.0,11732.0,48.16,398.0,Dagsalgsrapportaugust23.pdf
2023,August,17,47.0,22962.0,5430.0,28393.0,42.84,489.0,Dagsalgsrapportaugust23.pdf
2023,August,16,92.0,27910.0,889.0,28798.0,16.41,303.0,Dagsalgsrapportaugust23.pdf
2023,August,18,32.0,13159.0,3130.0,16290.0,44.59,411.0,Dagsalgsrapportaugust23.pdf
2023,August,17,72.0,21112.0,622.0,21734.0,21.42,293.0,Dagsalgsrapportaugust23.pdf
2023,August,19,39.0,18339.0,2702.0,21041.0,46.17,470.0,Dagsalgsrapportaugust23.pdf
2023,August,18,94.0,20810.0,624.0,21434.0,11.22,221.0,Dagsalgsrapportaugust23.pdf
2023,August,20,61.0,27751.0,4854.0,32605.0,44.46,455.0,Dagsalgsrapportaugust23.pdf
2023,August,19,343.0,4944.0,451.0,10377.0,20.0,47.64,Dagsalgsrapportaugust23.pdf
2023,August,23,7809.0,293.0,6729.0,1080.0,73.0,1668.0,Dagsalgsrapportaugust23.pdf
2023,August,23,10209.0,335.0,9716.0,493.0,131.0,3812.0,Dagsalgsrapportaugust23.pdf
2023,August,29,13257.0,448.0,10759.0,2498.0,223.0,5357.0,Dagsalgsrapportaugust23.pdf
2023,August,24,8544.0,335.0,8042.0,502.0,120.0,2868.0,Dagsalgsrapportaugust23.pdf
2023,August,24,12335.0,427.0,10679.0,1656.0,173.0,4330.0,Dagsalgsrapportaugust23.pdf
2023,August,25,8664.0,325.0,8455.0,209.0,62.0,1599.0,Dagsalgsrapportaugust23.pdf
2023,August,26,10581.0,331.0,8943.0,1638.0,154.0,4156.0,Dagsalgsrapportaugust23.pdf
2023,August,27,10850.0,405.0,10534.0,316.0,164.0,4262.0,Dagsalgsrapportaugust23.pdf
2023,August,26,28689.0,521.0,23980.0,4709.0,226.0,10409.0,Dagsalgsrapportaugust23.pdf
2023,August,25,14.0,5610.0,50.0,5660.0,50.63,401.0,Dagsalgsrapportaugust23.pdf
2023,August,27,112.0,46534.0,5477.0,52010.0,28.03,415.0,Dagsalgsrapportaugust23.pdf
2023,August,26,469.0,2516.0,576.0,5187.0,27.0,48.5,Dagsalgsrapportaugust23.pdf
2023,August,9,14875.0,551.0,14333.0,542.0,256.0,6652.0,Dagsalgsrapportaugust23.pdf
2023,August,26,10830.0,511.0,10725.0,106.0,266.0,5588.0,Dagsalgsrapportaugust23.pdf
2023,August,21,17406.0,633.0,11391.0,6015.0,326.0,5871.0,Dagsalgsrapportaugust23.pdf
2023,August,18,16211.0,459.0,16072.0,139.0,218.0,7614.0,Dagsalgsrapportaugust23.pdf
2023,August,31,17.0,13069.0,3324.0,16393.0,59.5,769.0,Dagsalgsrapportaugust23.pdf
2023,August,30,17.0,12205.0,2353.0,14558.0,56.06,718.0,Dagsalgsrapportaugust23.pdf
2023,August,31,9308.0,119347.0,355.0,318347.0,,37.49,Dagsalgsrapportaugust23.pdf
2023,August,6,-0.89,0.25,827.0,-6.0,-3073.0,,Dagsalgsrapportaugust23.pdf
2023,August,14,,,,,,,Dagsalgsrapportaugust23.pdf
2024,August,1,38.0,16749.0,994.0,17742.0,45.5,441.0,Dagsalgsrapportaugust24.pdf
2024,August,2,27.0,13636.0,3249.0,16885.0,53.0,505.0,Dagsalgsrapportaugust24.pdf
2024,August,3,30.0,12476.0,857.0,13333.0,40.51,416.0,Dagsalgsrapportaugust24.pdf
2024,August,1,24.0,12149.0,2363.0,14512.0,53.56,506.0,Dagsalgsrapportaugust24.pdf
2024,August,4,29.0,13060.0,3890.0,16950.0,34.94,450.0,Dagsalgsrapportaugust24.pdf
2024,August,2,26.0,11446.0,1681.0,13126.0,44.72,440.0,Dagsalgsrapportaugust24.pdf
2024,August,5,24.0,11064.0,4806.0,15870.0,46.85,461.0,Dagsalgsrapportaugust24.pdf
2024,August,3,3057.0,4933.0,476.0,9530.0,4.0,51.77,Dagsalgsrapportaugust24.pdf
2024,August,20,18860.0,499.0,15961.0,2899.0,229.0,7335.0,Dagsalgsrapportaugust24.pdf
2024,August,5,30.0,13501.0,3121.0,16622.0,53.44,450.0,Dagsalgsrapportaugust24.pdf
